Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gilbert Barrette,Bruno Côté,Pierre Grandmaitre,Marc Lemay,Ghislain Loiselle,Christine Moore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 1","Val-Paradis",23,1,19,58,1,7,1,110,211
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 2","Beaucanton",6,2,17,73,1,11,1,111,206
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 3","Villebois",17,1,15,64,0,11,2,110,203
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 4","Saint-Lambert",14,2,16,45,1,7,5,90,165
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 5","Normétal",14,2,47,75,2,11,2,153,337
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 6","Normétal",21,0,34,87,1,15,3,161,362
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 7","Saint-Vital-de-Clermont",22,3,27,83,3,23,3,164,337
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 8A","Languedoc",4,1,3,7,0,1,2,18,43
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 8B","Languedoc",5,1,5,16,0,4,1,32,141
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 9","La Reine",44,1,25,49,1,38,2,160,272
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 10","Dupuy",31,3,28,58,2,18,3,143,274
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 11","Dupuy",54,1,27,100,0,31,1,214,468
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 12","La Sarre",44,7,39,116,2,33,1,242,531
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 13","La Sarre",38,2,23,66,0,12,3,144,346
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 14","La Sarre",37,6,21,84,2,24,4,178,401
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 15","Chazel",15,5,13,28,0,19,1,81,230
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 16","La Sarre",Void/Supprimé,,,,,,,,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 17","La Sarre",Void/Supprimé,,,,,,,,
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 18","La Sarre",51,8,50,130,0,32,5,276,543
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 18-1","La Sarre",40,3,17,83,0,14,1,158,396
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 19","La Sarre",33,0,34,61,2,11,3,144,377
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 20","La Sarre",33,4,21,71,4,16,0,149,389
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 21","La Sarre",56,2,49,102,3,23,4,239,509
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 22","La Sarre",35,2,17,52,1,11,4,122,303
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 23","La Sarre",44,1,28,55,1,4,0,133,342
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 24A","La Sarre",27,4,41,73,1,19,5,170,397
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 24B","Mobile poll/Bureau itinérant",Merged with No. 503/Fusionné avec le nº 503,,,,,,,,77
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 25","La Sarre",46,4,31,88,0,24,6,199,460
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 26","La Sarre",32,0,34,87,0,16,3,172,344
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 27","La Sarre",24,2,19,71,0,20,2,138,349
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 28","La Sarre",39,3,18,70,1,20,1,152,327
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 29","Clerval",15,2,21,76,0,24,2,140,252
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 30","Sainte-Hélène-de-Mancebourg",25,5,25,81,3,14,3,156,295
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 31","Palmarolle",55,3,35,118,0,36,3,250,373
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 32","Palmarolle",51,6,38,49,2,22,3,171,350
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 33","Palmarolle",43,7,31,86,1,31,0,199,366
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 34","Colombourg",51,6,55,132,1,27,4,276,512
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 35","Macamic",33,5,28,82,3,5,2,158,348
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 36","Macamic",41,4,29,81,0,15,0,170,373
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 37","Macamic",26,2,25,63,0,21,1,138,347
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 38","Macamic",51,8,31,74,2,24,2,192,423
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 39","Macamic",Merged with No. 37/Fusionné avec le nº 37,,,,,,,,4
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 40","Authier-Nord",28,3,13,64,0,4,0,112,220
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 41","Authier",24,1,20,52,0,4,0,101,211
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 42","Taschereau",33,2,39,68,0,17,2,161,316
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 43","Roquemaure",21,8,32,79,1,22,5,168,302
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 44","Gallichan",22,10,37,74,1,26,4,174,347
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 45","Sainte-Germaine-Boulé",32,4,34,95,1,19,8,193,335
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 46","Sainte-Germaine-Boulé",59,5,27,116,2,18,6,233,346
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 47","Poularies",9,4,23,46,0,4,1,87,185
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 48","Poularies",49,2,32,75,5,11,5,179,366
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 49","Laferté",27,4,23,79,2,12,1,148,379
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 50","Rapide-Danseur",29,6,11,72,0,20,1,139,200
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 51","Destor",29,1,27,75,2,15,0,149,278
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 52","Duparquet",43,6,38,72,1,22,1,183,356
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 53","Duparquet",14,2,30,30,0,5,3,84,200
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 54","D'Alembert",33,3,27,95,2,19,4,183,393
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 55","D'Alembert",20,2,28,61,0,16,4,131,293
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 56","Cléricy",27,3,36,85,3,13,3,170,360
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 57","Mont-Brun",44,6,40,63,1,10,2,166,366
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 58","Guyenne",6,2,11,28,2,11,0,60,133
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 59","Berry",3,1,7,12,1,6,0,30,115
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 60","Saint-Nazaire-de-Berry",12,4,15,66,1,5,0,103,257
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 61","Saint-Dominique-du-Rosaire",29,4,27,82,0,16,1,159,344
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 62","Saint-Félix-de-Dalquier",12,2,18,64,1,9,6,112,271
24001,"Abitibi--Témiscamingue/Abitibi--Témiscamingue"," 63","Saint-Félix-de-Dalquier",31,1,29,106,0,22,4,193,413
