Province,Population,Electors/Électeurs,Valid Ballots/Bulletins valides,Percentage of Valid Ballots /Pourcentage des bulletins valides,Rejected Ballots/Bulletins rejetés,Percentage of Rejected Ballots /Pourcentage des bulletins rejetés,Total Ballots Cast/Total des bulletins déposés,Percentage of Voter Turnout/Pourcentage de la participation électorale
"Newfoundland and Labrador/Terre-Neuve-et-Labrador",505469,414779,217336,99.6,830,.4,218166,52.6
"Prince Edward Island/Île-du-Prince-Édouard",135851,108456,79045,99.4,466,.6,79511,73.3
"Nova Scotia/Nouvelle-Écosse",913462,733094,451350,99.4,2916,.6,454266,62
"New Brunswick/Nouveau-Brunswick",729997,592818,388738,99.1,3470,.9,392208,66.2
"Quebec/Québec",7546131,6130307,3801690,98.7,51430,1.3,3853120,62.9
"Ontario",12160282,9033266,5531478,99.5,25130,.5,5556608,61.5
"Manitoba",1148401,831041,491219,99.6,2121,.4,493340,59.4
"Saskatchewan",968157,723814,455094,99.7,1407,.3,456501,63.1
"Alberta",3290350,2509390,1395885,99.7,4789,.3,1400674,55.8
"British Columbia/Colombie-Britannique",4113487,3109917,1872636,99.6,6668,.4,1879304,60.4
"Yukon",30372,24341,16057,99.6,67,.4,16124,66.2
"Northwest Territories/Territoires du Nord-Ouest",41464,29020,15577,99.5,78,.5,15655,53.9
"Nunavut",29474,17349,7875,99.3,56,.7,7931,45.7
